,会社名,タイトル,掲載終了日
122,大和総合住設株式会社 | 賞与年4回支給！正当な評価制度アリ★月収200万円も目指せます,完全週休2日制(日・月)&ゆっくり13時出社♪【提案営業】福岡勤務 正社員,掲載終了予定日： 2022/03/10
123,アップライブステージ株式会社 | テレワークの普及に伴い売上も2倍◎実績給で最高70万円支給有,【ライブ配信コーディネーター】★タレント発掘＆育成★高卒以上 正社員,掲載終了予定日： 2022/02/24
124,株式会社テクトン | 「未経験で心配・・・」そんなあなたを応援する会社,★接客・販売職からの未経験入社多数★Excel研修あり【事務職】 正社員,掲載終了予定日： 2022/03/10
125,イッセイコンサルタント株式会社 | 国土交通省のパートナー企業◆平均年収600～700万／完全週休2日,未経験OK★内勤で建設に携われる?!【 発注者支援業務スタッフ 】 正社員,掲載終了予定日： 2022/02/24
126,株式会社真心 | 全国240店舗！ラーメン来来亭を展開｜正社員＆充実の福利厚生,未経験でも月給28万円～【 幹部候補 】店長は月給50万以上も可！ 正社員,掲載終了予定日： 2022/02/24
127,株式会社あきんどスシロー | ★東証一部上場グループ★店長の平均年収約719万円＆賞与年2回,平均年齢29.9歳！スシローの【店舗運営総合職】★年休120日以上 正社員,掲載終了予定日： 2022/02/24
128,松正工機株式会社 | 多彩な産業の大手企業と直取引＆創業以来、黒字経営を継続中！,私たちの生活を支えるプラントの【施工管理スタッフ】※土日休み 正社員,掲載終了予定日： 2022/03/07
129,有限会社興和土建 | ★経験者： 月給35万～50万円 ★多摩エリアに密着◎ ★年休115日,【公共工事の施工管理】経験者優遇／残業少なめ ／土日祝休み 正社員,掲載終了予定日： 2022/03/07
130,株式会社東黎トラスト | 大阪府緊急雇用対策に賛同／完全週休2日制／年間休日休暇120日,キャリアUP、独立等成長をバックアップ！投資用不動産の【営業】 正社員,掲載終了予定日： 2022/02/21
131,マルデナポリジャパン株式会社 | 100店舗チャレンジ始動★新ポストもあり未経験者もチャンス十分,未経験OK★選べる働き方★有名イタリアンの【店長・SV候補】 正社員,掲載終了予定日： 2022/02/21
132,株式会社アミ―クス | 『トータルリペア』オーナー募集,リペア職人として1人で独立！トータルリペアの【FCオーナー】 FCオーナー,掲載終了予定日： 2022/02/07
133,株式会社一条工務店 | 業界No.1の受注販売棟数を持つハウスメーカー！最高受注数更新中,完全反響型！住宅展示場での【営業・販売】*未経験歓迎*全国募集 正社員,掲載終了予定日： 2022/02/21
134,サンリスト株式会社 | 【福岡・大阪募集】年収800万円可／安定業界で1年目から厚待遇,「長く働けて、待遇UPできる」職場を選びませんか？【提案営業】 正社員,掲載終了予定日： 2022/03/03
135,UTエイム株式会社 | 【東証一部上場グループ】フリーターもOK！大切なのはこれから♪,月収42万円以上可能！【清掃・洗浄スタッフ】学歴一切不問☆ 正社員,掲載終了予定日： 2022/01/31
136,UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK,コツコツ働ける♪【箱詰め・梱包スタッフ】未経験歓迎 正社員,掲載終了予定日： 2022/01/31
137,"東建コーポレーション株式会社 | 上場企業で""待遇も働き方""も満足しませんか？",今がチャンス＊若手育成採用【営業】全国募集/未経験OK/30歳まで 正社員,掲載終了予定日： 2022/01/31
138,東建コーポレーション株式会社 | WEB面接実施！『 年齢に関係なく、まだまだやれる会社です！』,40～50代で転職の先輩、活躍中【営業】全国/未経験歓迎/年齢不問 正社員,掲載終了予定日： 2022/01/31
139,株式会社砂建 | 【月給24万円以上！完全週休2日制（土日）の働き方も選べます】,【総合職(メンテナンス/組立)】残業月10h/年休120日OK/月給24万~ 正社員,掲載終了予定日： 2022/02/14
140,株式会社rapid | 【大手通信キャリアと取引】★年収例：年収868万円／経験4年,未経験歓迎！【プロモーションスタッフ】★完全週休3日も可能 正社員,掲載終了予定日： 2022/02/28
141,UTコンストラクション株式会社 | 東証一部上場グループ★大手グループの安定基盤★土日祝休み,☆未経験歓迎☆【総合職(管理・資料作成等)】★残業月平均17時間 正社員,掲載終了予定日： 2022/01/31
142,株式会社タスカ | 大変だって、キツくったって―。稼げて、自由ならいいじゃない！,これからは、人より短い時間で、稼ぐ生活を！【提案営業】 正社員,掲載終了予定日： 2022/01/31
143,UTコンストラクション株式会社 | <東証一部上場グループ>家電家具付き社宅＋6割補助＋引越費支給,【点検・保守】未経験歓迎☆日勤/基本土日休み/平均月収29万円 正社員,掲載終了予定日： 2022/01/31
144,ReSein株式会社 | 年齢や性別に関係ない評価！インセンティブで月給80万も可能！,☆未経験でも安心の充実した研修制度☆【人材コーディネーター】 正社員,掲載終了予定日： 2022/02/28
145,株式会社トップファースト | 設立2年目！1ヶ月間の有給休暇もあり！◎学歴・職歴不問,"【営業スタッフ】ポテンシャル採用/初年度年収1,000万円以上可！ 正社員",掲載終了予定日： 2022/02/28
146,関西総合システム株式会社 | 年間休日126日！福利厚生が充実！ワークライフバランスも抜群,自社パッケージソフトの【提案営業】★土日祝休み★残業月10H 正社員,掲載終了予定日： 2022/02/07
147,株式会社タカラレーベン東北 | ≪東北エリア供給戸数ランキング第1位≫タカラレーベングループ,＼未経験歓迎・業界大手／【営業】◎完全週休2日／年休120日以上 正社員,掲載終了予定日： 2022/02/28
148,株式会社T's agency | 6期連続売上UP◆6ヵ月の基礎研修あり◆インセンあり◆残業月10H,未経験歓迎★【人材コーディネーター】★半年に１度固定給UP★ 正社員,掲載終了予定日： 2022/02/28
149,株式会社ネオ・コーポレーション | 業績好調！21年連続増収増益／全国10拠点での大型積極採用！,営業の65％が年収1000万円超！【電子ブレーカーの提案営業】 正社員,掲載終了予定日： 2022/02/14
150,株式会社日本ワークス | 設立25年！東京23区内マンションの開発・販売・管理を担い成長中,未経験歓迎！自社マンションの【提案営業】年休120日超/土日休み 正社員,掲載終了予定日： 2022/02/07
151,ジブラルタ生命保険株式会社 | 【福岡東支社限定募集】☆転勤なし ☆年間休日120日(土日祝休み),理想のLifestyleで働ける【ライフプランコンサルタント職】 正社員,掲載終了予定日： 2022/02/28
152,Icse株式会社 | 【福岡・熊本採用】■完全週休2日制(土日祝) ■未経験歓迎,【 営業 】頑張りはしっかり還元！※責任者候補の採用もあり！ 正社員,掲載終了予定日： 2022/02/28
153,朝日土地建物株式会社 | 未経験歓迎！★現社員の7人に1人が年収1000万！特別賞与年4回,【不動産営業】自分にできるか不安..全部説明します！※面接保証 正社員,掲載終了予定日： 2022/02/28
154,株式会社インターレイズ | ◆早期キャリアアップ可能／未経験OK／学歴不問／インセン有り,未経験歓迎！就職したい脱毛サロンNo.1【エステティシャン】 正社員,掲載終了予定日： 2022/02/24
155,株式会社メイテック | 東証一部上場／自動運転・EV・航空宇宙などの最先端・先行開発等,【設計エンジニア(機械/電気)】30歳平均年収605万円/定着率約95% 正社員,掲載終了予定日： 2022/01/27
156,悠悠ホーム株式会社 | ◎完全週休2日制 ◎充実の手当は10種類 ◎業界・業種未経験OK,【住宅アドバイザー】高い知名度&地場No.1の安定企業 正社員,掲載終了予定日： 2022/01/27
157,株式会社千葉東建設 | 未経験でも月給25万円～＋歩合給＋賞与年2回＋各種手当,100％反響型・ノルマなし【ハウジングアドバイザー】完全週休2日 正社員,掲載終了予定日： 2022/02/24
158,黒柳建設株式会社 | ◎面接交通費全額支給　◎賞与 平均6.8か月分　◎WEB面接可能,受注工事の93％が西三河【施工管理(土木・建築)】長距離通勤ナシ 正社員,掲載終了予定日： 2022/02/24
159,インターギアソリューション株式会社 | 『固定報酬』×『制作本数』で制作担当の年収実績1500万円以上,"【求人広告制作ディレクター】No,1の採用効果を目指せる制作担当 業務委託",掲載終了予定日： 2022/01/27
160,株式会社ライズイノベーター | 完全週休2日/土日祝休/面接1回(WEB可)/教育補助金年間20万円,"前職より必ず""増給""します【ITエンジニア】年休134日/月給30万～ 正社員",掲載終了予定日： 2022/01/27
161,日本交通株式会社 | ★新木場営業所限定募集★入社祝い金20万円／充実の研修で安心,未経験OK！【タクシードライバー】★賞与年3回★土日休みも可能 正社員,掲載終了予定日： 2022/02/24
162,株式会社ゼンワシーケンス | ★令和2年設立のエコベンチャー企業！業界屈指の成長率を実現！,【アポイントスタッフ】『＃休める ＃稼げる ＃楽しめる』 正社員,掲載終了予定日： 2022/02/24
163,住友不動産販売株式会社 | 【東証一部上場住友不動産グループ】,【不動産売買仲介営業】◇営業職の半数以上が年収800万円超 正社員,掲載終了予定日： 2022/01/27
164,株式会社ミライエ | センチュリー21加盟企業／各長期休暇完備／充実の研修をご用意◎,不動産売買の【営業】★月給50万円以上／未経験歓迎／賞与年2回 正社員,掲載終了予定日： 2022/02/10
165,大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,基本17時退社★平均月給42.9万円【法人営業】※社会人経験者限定 正社員,掲載終了予定日： 2022/01/27
166,株式会社松江電気商会 | 未経験歓迎！2022年2月11日（土）福井転職イベント出展決定！！,設立以来、連続決算賞与支給！【電気工事士】 正社員,掲載終了予定日： 2022/03/10
167,株式会社レーベン | 4半期目標達成でインセンティブ50万円|宅地建物取引士保有者優遇,【賃貸管理営業】※月給35万円以上　※完全週休2日（土日祝） 正社員,掲載終了予定日： 2022/01/27
168,インターギアソリューション株式会社 | ★電話で稼ぐ！固定報酬＋高額インセンティブ★当月払い可能,【求人広告電話営業】★未経験から平均月収55万円＜全国採用＞ 業務委託,掲載終了予定日： 2022/01/27
169,株式会社エムズクリエイティブシステム | #年間休日125日 #完休2日（土日祝休み）#残業月平均15時間程度,前職給与を保証！【ITエンジニア】定着率98％！その理由は…？ 正社員,掲載終了予定日： 2022/02/10
170,HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・スキル不問,書類選考なし！休日取得は自由／手に職が付く仕事【FCオーナー】 FCオーナー,掲載終了予定日： 2022/01/27
171,株式会社131 | (イチサンイチ)　★収入、働き方、仕事内容…理想を叶える転職に,あなたの本音に寄り添います【施工管理(土木/建築/設備/電気)】 正社員,掲載終了予定日： 2022/02/24
172,クリーンデバイス・テクノロジー株式会社,カーエアコンクリーニング「空気の洗車屋さん」【FCオーナー】 FCオーナー,掲載終了予定日： 2022/01/27
173,株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,【施工管理】初年度想定年収600～800万円／47都道府県採用 正社員,掲載終了予定日： 2022/01/27
174,株式会社RISE | コロナでも安定成長☆成長業界で課題解決営業に挑戦！土日祝休◎,未経験歓迎【法人営業】年休125日以上/定着率95%/平均月収40万円 正社員,掲載終了予定日： 2022/02/07
175,株式会社オートモール | 【 ICDAグループ 】★三重県で中古車販売台数7年連続NO.1！(※),三重県本社の上場企業グループ！【 中古車の営業 】★未経験歓迎 正社員,掲載終了予定日： 2022/03/21
176,株式会社FGGコーポレーション | 個人ノルマなし*効率重視の社風*移転したてのNYカフェ風オフィス,【不動産営業】基本給最大40万以上★残業20h以内/完全週休2日制 正社員,掲載終了予定日： 2022/02/21
177,株式会社ジーアフター | 輸入車・国産車の買取、販売◇売上前年比130%成長で不況知らず！,車販売の【営業・店舗運営】未経験者も月給30万以上でスタート！ 正社員,掲載終了予定日： 2022/02/21
178,株式会社ワークナビ | [創業以来売り上げ増加中]■2021年ベストベンチャー100に選出！,"『楽しく稼げる会社』""NO.１""を目指す！【法人ルート営業】 正社員",掲載終了予定日： 2022/02/21
179,株式会社ビッグモーター | 業界No.1◆月8～10日休み◆学齢・経験・年齢不問！,未経験から始める【営業職】★平均年収957万円 ※運転免許必須 正社員,掲載終了予定日： 2022/02/07
180,株式会社エージェントゲート | 化粧品メーカー等と取引/産育休取得＆復帰100％/残業基本なし,シフト制・夜勤の働き方を変えよう*年休130日【ITヘルプデスク】 正社員,掲載終了予定日： 2022/02/17
181,株式会社ネオキャリア | 第二創業期メンバー募集*成長率130％*平均年齢26歳と勢いあり！,【人材コンサルタント】最短6ヶ月後昇格可能／月給30万以上 正社員,掲載終了予定日： 2022/02/17
182,株式会社あひるコンサルティング | 業界未経験者も活躍できる、残業も少なめで働きやすい環境です,"人気住宅ローン""フラット35""の【 ルート営業 】高収入も目指せる 正社員",掲載終了予定日： 2022/02/03
183,住友不動産株式会社 | 【東証一部上場】★転勤なし ★3割が年収800万以上！,未経験から家づくりのプロに！【注文住宅営業】◆平均年収740万 正社員,掲載終了予定日： 2022/01/27
184,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,35歳以下★ソフトバンクの【法人営業】学歴不問★未経験OK 正社員,掲載終了予定日： 2022/02/03
185,株式会社エンリード不動産 | 前年比400%成長のスタートアップ | ★完全週休2日★年休120日~,未経験・第二新卒歓迎！リノベーションを手掛ける【不動産営業】 正社員,掲載終了予定日： 2022/02/03
186,株式会社エージェントゲート | 大手プライム多数/前職以上の給与最大限保証/リモート勤務有,常時1600件！技術を極めるも上流も、希望実現【SE・PG】 正社員,掲載終了予定日： 2022/02/17
187,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,ソフトバンクの【法人営業】社会人経験必須◎販売/接客経験歓迎 正社員,掲載終了予定日： 2022/02/03
188,Saze株式会社 | 【大阪府緊急雇用対策に賛同】20代で年収600万円超の社員多数！,【エンジニア】売上を社員に還元する会社No.1☆最先端企業 正社員,掲載終了予定日： 2022/02/03
189,株式会社エージェントゲート　 | WOMAN's VALUE AWARD/残業基本なし/リモート勤務も実施中,年休130日！IT未経験OK！安定の手に職をプラス【IT事務】 正社員,掲載終了予定日： 2022/02/17
190,株式会社Robot Consulting | 【総務省にも採択！AI技術を用いた自社サービスを展開】,最新AIシステムで課題解決に貢献する【提案営業】★未経験歓迎 正社員,掲載終了予定日： 2022/01/27
191,匠Lauren株式会社 | ＼＼設立から毎年売上200％UP／／ ★高インセンティブ(月15万~),未経験OK ★ SNS/Webを駆使したPR/集客サービスの【企画営業】 正社員,掲載終了予定日： 2022/03/17
192,株式会社SEC | ★90％以上が入社時に給与UP！★即日内定、超スピード選考可能！,未経験もサポートから始められる【施工管理補助】★人柄採用実施 正社員,掲載終了予定日： 2022/02/17
193,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】,ソフトバンクの【法人営業】未経験OK★高卒以上★35歳以下 正社員,掲載終了予定日： 2022/02/03
194,株式会社エクススタッフ | 休みが自由に組める／報奨金年4回／残業ほぼなし／未経験歓迎♪,契約済みの顧客対応のみ【営業】★入社3ヶ月で月収33万円~が95％ 正社員,掲載終了予定日： 2022/02/14
195,株式会社ビッグモーター | ～No.1企業だから活躍できる舞台がある～◆2年目年収2000万実績,やる気さえあれば、成功できる！【販売・買取】※45歳以下募集 正社員,掲載終了予定日： 2022/01/31
196,朝日土地建物株式会社　 | 【横浜支店】★月200万円のインセンティブ可能★完全週休2日制★,100％反響営業！未経験から稼ぎたい方必見☆住宅の【提案営業】 正社員,掲載終了予定日： 2022/02/21
197,株式会社ANYONE | ★前期比150％以上の売上成長／転勤なし／住宅手当あり,【提案営業】平均年収946万・年間休日135日　※2名募集 正社員,掲載終了予定日： 2022/03/14
198,UTコンストラクション株式会社 | 【東証一部上場グループ】★オンライン面接→1月入社も可能！,未経験歓迎【メンテナンススタッフ】★残業月20h以内／土日祝休 正社員,掲載終了予定日： 2022/02/14
199,中部自動車販売株式会社 | ★創業以来黒字・無借金経営 ★10月本社を新自社ビルに移転！,【カーライフアドバイザー】年収1000万円以上可能★完全反響 正社員,掲載終了予定日： 2022/02/24
200,株式会社平和地建 | 人々の暮らしに笑顔を増やす。なくてはならない企業となるために,不動産を通して、驚きと感動を生む。【反響営業】※未経験OK 正社員,掲載終了予定日： 2022/01/27
201,"株式会社テクノプロ・コンストラクション | ■東証一部上場グループ企業で""待遇も働き方""も改善しませんか？",東証一部上場グループ【施工管理】★選べる★稼げる★生涯現役 正社員,掲載終了予定日： 2022/01/27
202,株式会社T-TOP | 中部電力ミライズ株式会社の正規代理店/40歳以下⇒全員面接,※月給25万円～＆完全週休2日制※【営業】名古屋限定採用！ 正社員,掲載終了予定日： 2022/01/27
203,株式会社ガリレオコーポレーション | ☆★週休2日制&年間休日117日で、プライベートも充実★☆,"シッカリ稼ごう！年収1,000万円もめざせる【営業】※年齢不問 正社員",掲載終了予定日： 2022/01/27
204,株式会社コシダカ | 【上場グループ企業】スピード昇格可★土日休みOK★年2回5連休,月30万を目指せる【カラオケ店員(店長候補)】*39歳以下/学歴不問 正社員,掲載終了予定日： 2022/01/27
205,株式会社コシダカ | ★月収例29万4000円！★年休110日以上★東証一部上場グループ,カラオケ好き集合♪【カラオケ店舗社員】※職歴/学歴/年齢不問 正社員,掲載終了予定日： 2022/01/27
206,ネッツトヨタ三重株式会社 | 【トヨタ正規ディーラー】◆三重県で活躍◆段階別研修制度有,未経験歓迎【総合職(営業・整備士)】休みが選べる★年休110日 正社員,掲載終了予定日： 2022/01/27
207,株式会社コシダカ | 【上場グループ企業】土日休みOK★月収29.4万円も目指せる！,社員評価90点越えの働きやすさ！【店舗マネージャー】★高卒以上 正社員,掲載終了予定日： 2022/01/27
208,株式会社コシダカ | 【上場グループ企業】月収例29.4万円★月8~10日休★年2回5連休！,まねきねこの【カラオケ店舗社員(店長候補)】*高卒以上/年齢不問 正社員,掲載終了予定日： 2022/01/27
209,エーアイアールグループ合同募集 | 《首都圏に16店舗展開中》★20～30代若手活躍中★安心の研修体制,未経験歓迎！【ルームアドバイザー】★100％反響営業★1月入社可 正社員,掲載終了予定日： 2022/01/27
210,株式会社シノケングループ | 東証JASDAQ上場｜経験者は所長、未経験者も入社1年で現場監督可,【建築施工管理（RC造）】★未経験歓迎★年間休日120日★ 正社員,掲載終了予定日： 2022/02/10
211,株式会社ネクストアビリティ | ◆建設事業のコアメンバー募集◆平均年収738万円,【施工管理】月給58.3万~★売上の7割を給与に還元★入社祝金15万 正社員,掲載終了予定日： 2022/02/10
212,株式会社VERUS | #全社員平均年収750万円#入社5ヶ月で月収200万円実績あり,スターティングメンバー募集！【不動産コンサルティング営業】 正社員,掲載終了予定日： 2022/02/07
213,株式会社NEXTイノベーション | ～多角的な事業展開で業績好調～ ◆異業種からの転職者が活躍中,平均月収50万円★稼げる！リフォーム工事の【 営業 】※経験不問 正社員,掲載終了予定日： 2022/03/07
214,UTコミュニティ株式会社 | <東証一部上場グループ>年休133日可★社宅費全額補助エリア多数,【サポートスタッフ(PC入力・検品等)】未経験で月収34万円以上可 正社員,掲載終了予定日： 2022/01/31
215,託一株式会社 | ★TVCMも放映中★知名度抜群の総合不動産会社！※完全週休2日制,【 不動産総合職(賃貸営業／店長候補・売買営業・不動産管理) 】 正社員,掲載終了予定日： 2022/02/07
216,株式会社イースマイル | 【TVCM展開中！全国30拠点を展開】大半が前職より収入UPを実現！,★入社1年目で年収500万円が可能！【水のサービススタッフ】 正社員,掲載終了予定日： 2022/02/03
217,株式会社SORI | ◆前職給与考慮でお迎え ◆年収1000万円も目指せる ◆賞与年3回,【総合職(施工管理／重機オペ／ドライバー)】年齢不問◎広島勤務 正社員,掲載終了予定日： 2022/01/27
218,大東建託株式会社 | 【東証一部上場】◆全国募集◆残業代1分単位支給◆Web説明会実施,【営業】20万の入社支度金◆平均年収850万◆経験者募集 正社員,掲載終了予定日： 2022/02/03
219,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,★全国募集★【ライセンスアドバイザー】＊中途社員平均年齢28歳 正社員,掲載終了予定日： 2022/01/27
220,株式会社PCM | 【最大限利益還元】未経験でも日給月給25万円～★資格取得も支援,《 事業拡大中 》一貫したモノづくりができる【 技術スタッフ 】 正社員,掲載終了予定日： 2022/02/10
221,Finback株式会社 | <大阪府緊急雇用対策に賛同>設立3年目で業績は創業当時の2倍以上,オープニングメンバー！選べる営業スタイル【営業(内勤・外勤)】 正社員,掲載終了予定日： 2022/02/03
222,ドリームフーズ株式会社 | <大阪府緊急雇用対策に賛同>新事業展開で多彩なキャリアが描ける,業界随一の安定成長！スピード昇格が叶う【総合職(店長候補等)】 正社員,掲載終了予定日： 2022/02/03
223,株式会社優誠 | 【ノルマなし&成約率は50％超】2/6(日)転職フェアに参加します！,【営業スタッフ】未経験でも月収40万円の実績／基本土日休み 正社員,掲載終了予定日： 2022/01/31
224,株式会社誠進堂 | 売上は昨年対比170％UP／平均月収50万円＆平均年収700万円！,働きやすさも高収入も手に入る！【施工管理】※完全週休2日制 正社員,掲載終了予定日： 2022/01/31
225,株式会社PENTAGON | 転勤なし／未経験・学歴・社歴関係なく、頑張りは正当に評価◎,売らない【営業】？！アポを取るだけで1回のインセン100万円も可 正社員,掲載終了予定日： 2022/01/31
226,神明株式会社 | 創業68年！高い安定性☆賞与年2回☆有給取得しやすい社風,未経験歓迎【営業】★正社員 ★残業月平均20h以下 ★社員寮あり 正社員,掲載終了予定日： 2022/02/14
227,GMO TECH株式会社 | 【東証マザーズ上場】★土日祝休み★年休121日★有給取得率◎,＼福岡採用／【広告営業】業界大手で「成長」も「収入」も手に！ 正社員,掲載終了予定日： 2022/01/31
228,アプライド マテリアルズ ジャパン株式会社 | ◆売上世界No.1の半導体製造装置メーカー◆平均年収734万円,【保守修理スタッフ】未経験歓迎◆学歴不問◆全国募集 正社員,掲載終了予定日： 2022/01/31
229,有限会社高美電気工事 | 【「住友電設」「きんでん」と直取引】地域密着だから転勤なし,入社時の資格不問【電気工事士】※完全週休2日／平均月収40万円 正社員,掲載終了予定日： 2022/01/31
230,株式会社ジーエヌエス・ジャパン | ★年収1000万円も可能★有休消化率100％★年休130日～★残業なし,未経験◎【ISO審査員】※完全週休2日制(土日)・在宅勤務OK! 正社員,掲載終了予定日： 2022/01/31
231,三和ペイント沖縄株式会社 | ＼条件に合う方は全員面接／残業は月10h程度&1日2時間の休憩アリ,★若手社員活躍中★完全週休2日制で働きやすい！【 提案営業 】 正社員,掲載終了予定日： 2022/01/31
232,光電気工事株式会社 | ◆2019年新社屋完成　◆年収700万も目指せる　◆20～50代活躍中,転職者が多く活躍中！【総合職(施工管理・電気工事・総務)】 正社員,掲載終了予定日： 2022/02/24
233,株式会社バジェットホールディングス | 創業60年を迎える安定成長企業。業界最先端で活躍できます,【総合職 (事務/国内営業)♯未経験OK ♯残業少なめ ♯高収入可能 正社員,掲載終了予定日： 2022/01/27
234,新日本ハウス株式会社 | 転勤ナシ＝好きな街で働けます！吉幾三さんのCMでおなじみの会社,40～50代も活躍中★需要が増加中！リフォームの【提案営業】 正社員,掲載終了予定日： 2022/02/03
235,株式会社テクノスイコー | ◎即入社＆希望勤務地を最大限考慮【大阪府緊急雇用対策に賛同】,【モノづくりエンジニア】★経験を収入に還元★希望案件を最優先 契約社員,掲載終了予定日： 2022/01/27
236,株式会社ネオキャリア | #未経験OK #土日祝休 #年休128日～ #30万円以上＋インセンティブ,第二創業期メンバー募集！圧倒的成長が叶う【自社広告営業】 正社員,掲載終了予定日： 2022/01/27
237,株式会社エスペーロUSER | ★最大3カ月研修★業界屈指の人材育成力★グループ企業多数展開,★未経験大歓迎！★応募者全員と面接します！【ITエンジニア】 正社員,掲載終了予定日： 2022/01/27
238,株式会社アライブ．ｃｏｍ | 入社祝金10万円★年休130日★フルリモート案件あり,"前職より""増給保証""【SE/PG】★独立支援制度★リモートワークOK 正社員",掲載終了予定日： 2022/02/10
239,株式会社HiiizL | 【 2022年1月16日(日) マイナビ転職フェア鹿児島に出展します 】,【イベントPR・営業】政府推奨アワード受賞／完全週休2日制 正社員,掲載終了予定日： 2022/01/27
240,株式会社テクノスイコー | ◎土日祝休み◎残業手当100％支給 <大阪府緊急雇用対策に賛同>,【設計補助(CADオペ)】★設計など広がるキャリア★転勤なし 契約社員,掲載終了予定日： 2022/01/27
241,日本交通株式会社 | 《世界最大規模1800名在籍》面接保証*月給30万円～給与保証あり,【タクシードライバー（デリバリー／介護／観光／キッズなど）】 正社員,掲載終了予定日： 2022/01/27
242,ロイヤルハウジング株式会社 | 【創業47年ロイヤルグループ】昨対比売上150％以上！売上絶好調,高級物件が揃う「東京湾岸・千葉エリア」で活躍【売買仲介営業】 正社員,掲載終了予定日： 2022/01/27
243,大和総合住設株式会社 | ★賞与年4回支給★ 月収200万円以上も目指せます！,完全週休2日制&朝はゆっくり13時出社♪【 提案営業 】※沖縄勤務 正社員,掲載終了予定日： 2022/01/27
